filename,actionFlag,nullHyperlinkFlag,suspecLinkFlag,outLinkFlag,zeroLinkFlag,outCssFlag
2d5b60700f2bbb4450a889d2a9f3e9ba,0,0.1176,0.2941,0.0588,0,0
d9034137996b19da4f0b4cb957c37b4f,0,0,0,0.019,0,0
66178272dee70b26f1400bb5c2aea1ab,0,0.0671,0.0061,0.1829,0,0
7f0c3101a7212b9300a9e3505452b15f,0,0,0.0065,0.0194,0,0
91127e61dca7cc594f84afdbc47c3134,0,0,0.05,0.05,0,0
5d4608953d5b19611dc7e19bbbd77600,0,0.1455,0,0.0364,0,0
b8e8f3a0c656ec39ea71f155257433db,0,0.0842,0.0211,0.2526,0,0
a376b83995cedeb11789a386b9437cc3,0,0,0.1014,0.0435,0,0
70c898a4ac4d8666faf13643981dbe1b,0,0,0,0,0,0
aa5836076b3e4e43ac2bef60afa955c5,0,0.1848,0,0.0543,0,0
1b19d58542a99d9b107e54aa557cd322,0,0.0392,0,0.1569,0,0
6a4effb7f61acf2f4cc1932fb313ca03,0,0,0,0.2,0,0
c4a6a3d32ed3c1a32be148d1c3905dca,1,0,0.0204,0.2857,0,0
8b9b238ed926d2a6ce622e5c8087bd14,0,0.0278,0.0139,0,0,0
5946a7e2b77a71d9be4ca1e1488b0ec6,0,0,0,0,0,0
a3ef0efc66f4141e77519e7f2af507e2,0,0.1262,0,0.0097,0,0
594a31351a2615bfa386d82e3d678869,0,0,0,0,0,0
b9111b5dd9787a127905ba8329d45ec4,0,0.0222,0,0,0,0
281a21de89c795025590dd21e7a5be9e,0,0,0.3333,0,0,0
fc6034c542875b081005bbbe372a6918,0,0,0.0078,0.4651,0,0
82064ce821c53f8ed1a16fccd7b541c3,0,0,0.2,0.4,0,0
29b0b2f084b7f53d8267fa1280b0f6bf,0,0.013,0.4026,0.4156,0,0
c8323a7fb4827aba8e2d2579874ccfb8,0,0.0062,0,0.0062,0,0
e620bf8db0fb871b60cd2e897381ecdc,0,0.3333,0,0,0,0
f51fb0c9073196c8426d318387b2bd59,0,0,0,0.5,0,0
7ba22b2bbddf91f54b72a34086a2998f,0,0.0041,0.0185,0.0123,0,0
3f2e6063f5ecfb1e902e53bb59745197,1,0.25,0,0.6667,0,1
0aa641a3ad084b844e05b967f34e4eab,0,0,0,0.8333,0,1
b298666d3ebef66a3f1f4fdac97f5fdb,0,0.0278,0,0.0069,0,0
